"MLBAMID","Name"
666310,"Bo Naylor"
115825,"José Hernández"
122596,"Scott Spiezio"
668904,"Royce Lewis"
669364,"Xavier Edwards"
430917,"Mike Fontenot"
671056,"Iván Herrera"
592348,"Niko Goodrum"
663837,"Matt Vierling"
430946,"Jose Lopez"
135783,"Ramon Castro"
502317,"Chris Heisey"
664728,"Kyle Isbel"
474892,"Chris Carter"
425883,"Dontrelle Willis"
124693,"Dmitri Young"
430930,"Fred Lewis"
669701,"Josh Smith"
656811,"Ryan O'Hearn"
434604,"Michael Morse"
666023,"Freddy Fermin"
600303,"Tommy La Stella"
475174,"Yonder Alonso"
607054,"Jace Peterson"
680574,"Matt McLain"
408036,"Josh Bard"
701762,"Nick Kurtz"
514913,"Rubén Tejada"
456078,"Welington Castillo"
696285,"Jacob Young"
695578,"James Wood"
608596,"Tom Murphy"
686469,"Vinnie Pasquantino"
670042,"Luke Raley"
466988,"Emilio Bonifácio"
666139,"Josh Lowe"
435219,"Jack Hannahan"
448242,"Tony Gwynn Jr."
607732,"Jacob Stallings"
111548,"Emil Brown"
150398,"Geoff Blum"
588751,"Adeiny Hechavarría"
134162,"Travis Lee"
668715,"Spencer Steer"
686668,"Brenton Doyle"
501800,"Allen Craig"
687401,"Joey Ortiz"
519346,"Eric Thames"
118365,"Edgar Martinez"
113679,"Jermaine Dye"
407380,"Dustan Mohr"
606299,"José Peraza"
400120,"Chris Coste"
669394,"Jake Burger"
665750,"Leody Taveras"
609280,"Miguel Andujar"
543376,"Caleb Joseph"
493120,"Kosuke Fukudome"
118362,"Tino Martinez"
133343,"Preston Wilson"
581527,"Devon Travis"
431171,"Casey McGehee"
571506,"Justin Bour"
407798,"Ryan Langerhans"
650391,"Eloy Jiménez"
669289,"Santiago Espinal"
434540,"Garrett Jones"
570267,"Domingo Santana"
113845,"Juan Encarnacion"
570560,"Yolmer Sánchez"
681297,"Colton Cowser"
465784,"Everth Cabrera"
643265,"Garrett Cooper"
453539,"Sam Fuld"
346852,"Craig Wilson"
136724,"Marlon Anderson"
592261,"Delino DeShields"
111213,"Aaron Boone"
693307,"Dillon Dingler"
282878,"Bobby Kielty"
622666,"Johan Camargo"
407483,"Willie Harris"
641553,"Adam Engel"
621550,"Patrick Wisdom"
605486,"Cory Spangenberg"
621433,"Brett Phillips"
622761,"Jorge Mateo"
542979,"Keon Broxton"
650859,"Luis Rengifo"
429841,"Matt Diaz"
433898,"Jeff Keppinger"
276054,"Brady Clark"
121693,"Benito Santiago"
680869,"Zack Gelof"
449107,"Mike Aviles"
542583,"Jesús Aguilar"
542454,"Danny Santana"
641584,"Jake Fraley"
475100,"Scott Van Slyke"
596847,"Ji Man Choi"
687462,"Spencer Horwitz"
656669,"Jordan Luplow"
